index,unit_no,RUL_pred05,RUL_pred5,RUL_pred95,RUL_true,RUL
33,34.0,7.978575,4.744069,14.310263,7.0,7
30,31.0,5.9999485,11.746084,23.230045,8.0,8
80,81.0,3.5964365,4.5883894,11.059958,8.0,8
67,68.0,4.983625,20.47731,20.46119,8.0,8
81,82.0,5.4559617,8.0858755,20.663012,9.0,9
75,76.0,-0.40117702,11.793095,17.228699,10.0,10
41,42.0,8.101978,20.96962,41.27078,10.0,10
34,35.0,14.09323,12.789276,19.15756,11.0,11
65,66.0,18.146557,21.658901,19.412802,14.0,14
55,56.0,9.919746,17.935446,16.790216,15.0,15
19,20.0,7.793117,10.141464,26.108686,16.0,16
40,41.0,22.771036,25.80165,56.075493,18.0,18
35,36.0,17.455685,26.527195,33.187336,19.0,19
23,24.0,14.091994,19.845522,27.76661,20.0,20
91,92.0,12.132482,25.145037,23.98641,20.0,20
99,100.0,13.909708,25.694817,45.099903,20.0,20
36,37.0,49.408546,54.03293,81.2671,21.0,21
48,49.0,19.1407,21.91875,28.09043,21.0,21
60,61.0,7.9882493,19.709944,55.306305,21.0,21
52,53.0,33.08533,32.955128,53.278812,26.0,26
89,90.0,11.306827,24.727345,32.07815,28.0,28
39,40.0,27.036385,39.50449,45.980667,28.0,28
63,64.0,18.795143,23.331532,46.438087,28.0,28
17,18.0,40.78628,62.288334,111.33946,28.0,28
51,52.0,27.301472,32.14,44.86674,29.0,29
76,77.0,33.908062,40.711643,69.35053,34.0,34
57,58.0,38.935963,44.56597,67.69469,37.0,37
90,91.0,22.158707,23.514732,28.10726,38.0,38
45,46.0,37.255936,44.278164,64.96803,47.0,47
31,32.0,40.803635,54.538197,74.39595,48.0,48
37,38.0,25.789873,54.758083,57.427265,50.0,50
16,17.0,41.59383,47.236507,74.97601,50.0,50
71,72.0,37.45845,78.57843,138.3073,50.0,50
61,62.0,33.32744,40.864555,70.85817,54.0,54
93,94.0,40.102184,68.097404,97.43787,55.0,55
20,21.0,44.998775,66.570915,98.43395,57.0,57
83,84.0,68.33468,77.1287,145.54639,58.0,58
42,43.0,45.3825,69.45876,106.72933,59.0,59
97,98.0,29.11942,67.61562,115.67238,59.0,59
78,79.0,78.2565,115.83067,174.44952,63.0,63
26,27.0,59.863422,128.01335,225.6037,66.0,66
2,3.0,29.431345,67.365005,116.69191,69.0,69
62,63.0,52.56987,100.66444,118.90256,72.0,72
66,67.0,81.96168,107.19192,237.26047,77.0,77
49,50.0,61.96255,111.49655,200.71582,79.0,79
3,4.0,61.60843,97.30433,108.617424,82.0,82
96,97.0,53.6467,88.23279,102.7013,82.0,82
14,15.0,73.80953,127.07245,259.0666,83.0,83
15,16.0,75.23678,111.65834,205.4392,84.0,84
92,93.0,26.001165,33.82136,71.838104,85.0,85
18,19.0,79.58193,107.00887,179.39407,87.0,87
85,86.0,70.768196,113.85515,170.50447,89.0,89
79,80.0,50.087555,86.672066,183.93704,90.0,90
28,29.0,48.10323,98.8672,173.83688,90.0,90
4,5.0,67.89567,102.992935,171.3832,91.0,91
6,7.0,79.3878,103.960335,184.84549,91.0,91
47,48.0,72.47559,123.50724,172.65164,92.0,92
5,6.0,52.92819,97.50988,166.75288,93.0,93
69,70.0,85.34452,120.532875,149.96883,94.0,94
7,8.0,74.72035,115.7716,147.56519,95.0,95
12,13.0,54.581413,90.86166,180.44897,95.0,95
9,10.0,58.342697,107.56119,151.98184,96.0,96
10,11.0,57.423477,104.331055,120.60391,97.0,97
53,54.0,104.83384,125.19822,192.83307,97.0,97
27,28.0,71.073616,114.11733,139.79369,97.0,97
1,2.0,86.89323,116.28436,190.39401,98.0,98
59,60.0,66.11391,99.00431,150.29689,100.0,100
56,57.0,60.184345,104.760765,111.606186,103.0,103
32,33.0,54.10509,110.52386,156.97331,106.0,106
77,78.0,120.87142,166.00186,189.9633,107.0,107
13,14.0,75.210045,112.857216,161.7632,107.0,107
43,44.0,87.018105,129.65916,193.85992,109.0,109
8,9.0,66.09936,125.26175,165.63365,111.0,111
21,22.0,82.66737,145.96046,175.3222,111.0,111
0,1.0,101.1452,146.26158,209.2664,112.0,112
22,23.0,99.15038,160.69081,246.24655,113.0,113
74,75.0,71.93008,95.602684,181.0231,113.0,113
44,45.0,46.9961,92.45541,106.42482,114.0,114
50,51.0,82.86715,121.27195,181.17844,114.0,114
58,59.0,82.683815,112.49017,211.096,114.0,114
29,30.0,55.54494,112.63166,138.36412,115.0,115
87,88.0,64.016655,119.06131,160.52882,115.0,115
86,87.0,88.67819,116.49189,235.17586,116.0,116
98,99.0,102.77377,141.89796,178.8642,117.0,117
70,71.0,94.352234,118.08277,171.15036,118.0,118
84,85.0,75.08495,135.24069,177.68292,118.0,118
25,26.0,85.7875,118.803894,173.51498,119.0,119
68,69.0,95.19506,128.43687,199.72145,121.0,121
11,12.0,62.688316,100.05831,173.06491,124.0,124
73,74.0,78.48892,102.62407,150.83525,126.0,126
94,95.0,92.48768,106.3909,206.49463,128.0,128
64,65.0,104.51271,147.47313,195.59161,128.0,128
72,73.0,90.27635,138.98976,219.13509,131.0,131
46,47.0,62.119038,98.127304,141.74568,135.0,135
88,89.0,72.66844,126.457466,169.21803,136.0,136
54,55.0,86.82227,120.48461,242.49603,137.0,137
95,96.0,85.81487,128.48808,162.23991,137.0,137
82,83.0,86.66811,136.20322,258.31787,137.0,137
38,39.0,108.34866,140.10957,186.03825,142.0,142
24,25.0,91.79162,156.95695,226.23871,145.0,145
