unit_no,RUL_pred05,RUL_pred5,RUL_pred95,RUL_true
1.0,101.1452,146.26158,209.2664,112.0
2.0,72.57021,136.60692,190.93509,116.0
2.0,76.00291,137.4771,212.94473,115.0
2.0,73.52653,134.91891,174.05011,114.0
2.0,82.506424,129.39064,203.85197,113.0
2.0,78.66708,137.79567,168.17162,112.0
2.0,73.31228,132.53639,213.3399,111.0
2.0,80.976166,139.12222,178.02353,110.0
2.0,82.466675,132.75117,227.94516,109.0
2.0,80.112076,141.33467,198.16623,108.0
2.0,80.64586,147.5756,190.41682,107.0
2.0,113.01035,139.22466,182.05174,106.0
2.0,84.87482,135.81581,171.02347,105.0
2.0,73.61128,128.29219,188.36798,104.0
2.0,76.85841,126.98922,193.95428,103.0
2.0,69.98158,115.998886,173.18239,102.0
2.0,77.33365,120.27588,189.25648,101.0
2.0,73.00354,108.86396,195.31479,100.0
2.0,80.03395,142.71176,194.84477,99.0
2.0,86.89323,116.28436,190.39401,98.0
3.0,63.238438,105.91874,153.65082,164.0
3.0,66.886955,113.15995,138.68521,163.0
3.0,63.299328,121.02363,190.51047,162.0
3.0,58.857384,106.05977,151.33157,161.0
3.0,56.052486,103.22419,141.19772,160.0
3.0,68.90385,109.68617,111.68592,159.0
3.0,58.03069,99.512856,186.25128,158.0
3.0,68.79299,109.59279,165.14795,157.0
3.0,76.62813,117.49147,169.20306,156.0
3.0,54.2169,112.846466,151.75594,155.0
3.0,86.93905,122.68046,162.5985,154.0
3.0,65.14523,121.87042,167.79869,153.0
3.0,71.962975,120.21272,123.991615,152.0
3.0,72.91041,132.38113,163.91716,151.0
3.0,69.92562,125.79753,162.10568,150.0
3.0,72.53466,112.89737,151.6446,149.0
3.0,64.56992,116.46744,144.41919,148.0
3.0,61.79147,114.45436,152.56224,147.0
3.0,74.42958,125.992035,170.21994,146.0
3.0,91.571945,124.51998,136.53026,145.0
3.0,65.513885,121.95657,174.73276,144.0
3.0,66.84832,121.95977,132.91617,143.0
3.0,76.14815,122.754486,170.48248,142.0
3.0,86.62792,127.25395,189.21844,141.0
3.0,68.86835,123.0193,172.46556,140.0
3.0,78.92204,117.46381,165.57735,139.0
3.0,68.38906,118.23403,177.98955,138.0
3.0,78.395,117.667366,168.08073,137.0
3.0,76.0868,118.612366,141.61623,136.0
3.0,72.79493,116.96386,146.97571,135.0
3.0,66.39305,112.39938,155.22336,134.0
3.0,73.6238,119.40526,183.76625,133.0
3.0,70.07335,128.81769,123.34804,132.0
3.0,55.43547,123.838005,167.6765,131.0
3.0,65.351074,109.3171,163.9369,130.0
